date,percent,average
2020-01-09,0.008130081301,1
2020-01-10,0,0
2020-01-11,0,0
2020-01-12,0,1
2020-01-13,0,1
2020-01-14,0.02542372881,1
2020-01-15,0,1
2020-01-16,0.008130081301,1
2020-01-17,0,1
2020-01-18,0.02083333333,2
2020-01-19,0.0325203252,4
2020-01-20,0.05,6
2020-01-21,0.1088435374,8
2020-01-22,0.1103448276,11
2020-01-23,0.1168831169,13
2020-01-24,0.1411764706,16
2020-01-25,0.175257732,16
2020-01-26,0.26,18
2020-01-27,0.1296296296,19
2020-01-28,0.1693548387,21
2020-01-29,0.2093023256,22
2020-01-30,0.2661290323,23
2020-01-31,0.3021978022,24
2020-02-01,0.2142857143,24
2020-02-02,0.216,23
2020-02-03,0.2158273381,19
2020-02-04,0.1785714286,18
2020-02-05,0.1408450704,18
2020-02-06,0.125,18
2020-02-07,0.2519083969,18
2020-02-08,0.2268041237,19
2020-02-09,0.1794871795,21
2020-02-10,0.1481481481,19
2020-02-11,0.2518518519,20
2020-02-12,0.1590909091,22
2020-02-13,0.2740740741,23
2020-02-14,0.2478632479,21
2020-02-15,0.2058823529,21
2020-02-16,0.170212766,19
2020-02-17,0.1565217391,17
2020-02-18,0.1857142857,14
2020-02-19,0.1363636364,14
2020-02-20,0.07092198582,18
2020-02-21,0.1590909091,19
2020-02-22,0.3411764706,25
2020-02-23,0.2475247525,34
2020-02-24,0.4105960265,40
2020-02-25,0.5182481752,44
2020-02-26,0.4935064935,48
2020-02-27,0.5506329114,45
2020-02-28,0.4492753623,41
2020-02-29,0.2377622378,41
2020-03-01,0.3228346457,37
2020-03-02,0.4965986395,36
2020-03-03,0.3563218391,41
2020-03-04,0.3782051282,45
2020-03-05,0.4968152866,46
2020-03-06,0.5,49
2020-03-07,0.5647058824,52
2020-03-08,0.5245901639,56
2020-03-09,0.5333333333,58
2020-03-10,0.6772151899,65
2020-03-11,0.622754491,70
2020-03-12,0.875,77
2020-03-13,0.8103448276,82
2020-03-14,0.8571428571,88
2020-03-15,0.9238095238,88
2020-03-16,0.9096774194,90
2020-03-17,0.9096385542,91
2020-03-18,0.9113924051,91
2020-03-19,0.9130434783,91
2020-03-20,0.8947368421,91
2020-03-21,0.9357798165,92
2020-03-22,0.9175257732,92
2020-03-23,0.9432624113,92
2020-03-24,0.8962962963,92
2020-03-25,0.9281437126,93
2020-03-26,0.9338235294,94
2020-03-27,0.9467455621,94
2020-03-28,0.98,95
2020-03-29,0.92,95
2020-03-30,0.9618320611,94
2020-03-31,0.947761194,94
2020-04-01,0.9111111111,95
2020-04-02,0.9562043796,93
2020-04-03,0.9523809524,94
2020-04-04,0.9042553191,94
2020-04-05,0.96875,93
2020-04-06,0.9155844156,91
2020-04-07,0.9171974522,91
2020-04-08,0.8421052632,87
2020-04-09,0.9037037037,86
2020-04-10,0.7727272727,85
2020-04-11,0.8780487805,84
2020-04-12,0.8571428571,83
2020-04-13,0.7851239669,85
2020-04-14,0.8592592593,84
2020-04-15,0.8675496689,85
2020-04-16,0.8551724138,85
2020-04-17,0.8582089552,84
2020-04-18,0.8285714286,84
2020-04-19,0.801980198,84
2020-04-20,0.8629032258,83
2020-04-21,0.8527131783,83
2020-04-22,0.8076923077,83
2020-04-23,0.8108108108,81
2020-04-24,0.7910447761,81
2020-04-25,0.7866666667,82
2020-04-26,0.8695652174,82
2020-04-27,0.8299319728,83
2020-04-28,0.8278688525,84
2020-04-29,0.837398374,82
2020-04-30,0.843537415,82
2020-05-01,0.7605633803,82
2020-05-02,0.8533333333,82
2020-05-03,0.7804878049,80
2020-05-04,0.8506493506,81
2020-05-05,0.7606837607,79
2020-05-06,0.8129496403,77
2020-05-07,0.7661290323,72
2020-05-08,0.6616541353,72
2020-05-09,0.5934065934,73
2020-05-10,0.7837837838,74
2020-05-11,0.8518518519,78
2020-05-12,0.8333333333,84
2020-05-13,0.8601398601,83
2020-05-14,0.8461538462,81
2020-05-15,0.7697841727,76
2020-05-16,0.7362637363,75
2020-05-17,0.5816326531,72
2020-05-18,0.7928571429,69
2020-05-19,0.7179487179,68
2020-05-20,0.6230769231,70
2020-05-21,0.6857142857,68
2020-05-22,0.6972477064,63
2020-05-23,0.6714285714,66
2020-05-24,0.4747474747,65
2020-05-25,0.776,63
2020-05-26,0.6186440678,60
2020-05-27,0.592,61
2020-05-28,0.5309734513,51
2020-05-29,0.5273972603,43
2020-05-30,0.2564102564,39
2020-05-31,0.2476190476,33
2020-06-01,0.3974358974,29
2020-06-02,0.1987951807,31
2020-06-03,0.3648648649,35
2020-06-04,0.3306451613,32
2020-06-05,0.4666666667,31
2020-06-06,0.2178217822,33
2020-06-07,0.1868131868,34
2020-06-08,0.4365079365,34
2020-06-09,0.3902439024,38
2020-06-10,0.4538461538,41
2020-06-11,0.4102564103,40
2020-06-12,0.3712121212,39
2020-06-13,0.3947368421,39
